name,company,area,min_salary,max_salary,description,link
java,天府新区成都片区...,成都·锦江区·红星路,1.0,2,Java，职位类型是Java的岗位职责和任职要求岗位职责：1. 负责公司Java Web应用程序的开发、维护和优化；2. 参与公司产品架构设计，负责Web前端和后端接口的开发；3. 负责Web前端页面的开发、优化和维护；4. 负责后端服务器的搭建、维护和优化；5. 负责系统性能调优和故障排除；6. 参与团队技术分享和交流，提升团队技术水平。任职要求：1. 本科及以上学历，计算机相关专业2. 熟练掌握Java编程语言，熟悉Spring、Mybatis等主流框架；3. 熟悉前端技术，如HTML、CSS、JavaScript等；4. 熟悉Linux操作系统，熟悉MySQL数据库；5. 具备良好的团队合作精神和沟通能力，具备较强的学习能力和解决问题的能力；6. 具备良好的英语阅读和写作能力，能够阅读英文技术文档。,https://www.zhipin.com/job_detail/c4b8892f52acbc8f1HV-3di5GVtS.html?lid=4XtUN4lanxy.search.207&securityId=65-xdgvK0E0wt-m1-DKFKStDCOmI5jJ2O99SVVq0qAN0t_xfFuzptrofi1D4akOG1d_cXPOGMf44dwH0nqrfup1strwFsvRPSukbj-D_0fOVi9OYLCc~&sessionId=
Java,人鱼文化,成都·成华区·驷马桥,1.0,2,岗位职责：任职要求：岗位福利：教育背景：岗位职责：1. 负责Java相关项目的开发和维护，包括需求分析、系统设计、编码、测试等工作；2. 参与系统架构设计和技术选型，保证系统的高可用性和稳定性；3. 负责编写高质量的代码和文档，保证代码的可读性和可维护性；4. 参与团队的技术分享和交流，提高团队整体技术水平；5. 持续关注技术发展和行业动态，不断学习和探索新技术。任职要求：1. 本科及以上学历，计算机相关专业，3年以上Java开发经验；2. 熟练掌握Java语言和相关技术，熟悉Spring、MyBatis等框架；3. 熟悉数据库设计和优化，熟练使用MySQL、Oracle等数据库；4. 具备良好的编码习惯和代码规范，熟悉Git等代码管理工具；5. 具备良好的沟通能力和团队合作精神，能够快速适应工作环境和工作压力。,https://www.zhipin.com/job_detail/2b67cbb3979b4e981HB83NW4ElFY.html?lid=4XtUN4lanxy.search.293&securityId=z9qGe8GbcCTnu-K1AOhed3v9voZSCeNseGlQqakRMb9DYbPM5mb5kxC_bFrgXv5odhfPPgc4lDaYq81GzIfDzrLMhcIuYTyM53gvw3ZIAMKK-f1kFPY~&sessionId=
Java,成都智匠科技有限公司,成都·青羊区·东坡,1.5,3,工作时间：不限工作时段：不限结算方式：日结招聘截止时间：2023-12-23本科或以上学历，计算机科学或相关专业背景。熟悉Java编程语言，具备基本的后端开发知识和技能。熟悉Spring框架，包括Spring Boot、Spring MVC等。具备MySQL数据库的基础知识和使用经验，了解SQL查询和优化技巧。具备良好的团队合作精神和沟通能力，能够与团队成员紧密合作。愿意学习和接受指导，并具备持续学习和自我提升的意愿。,https://www.zhipin.com/job_detail/6b6000dbadfb13841HV92tS-GVtS.html?lid=4XtUN4lanxy.search.176&securityId=Dr2JMW_kxwfqU-n1u08SitVX8gBgRIxrebR8VrU5sHIX4P9qVS3QL2eyL-Nw98rJbkc4wmOMXcc2Ays-eF2OJ8yA-khR-KV64HV5de12lse5KgM2H8Xl&sessionId=
Java,新页科技,成都·金牛区·沙湾,3.0,6,岗位要求：计算机软件程序开发相关专业，有效强的专注力、学习能力，喜欢热爱程序员行业，有效好的理解、分析和沟通能力。（接收应届毕业生）工作描述：根据公司发展需要，解决公司软、硬件相关问题。实习期薪资3500，上六休一，朝九晚六，1-3个月试用考察期，转正月薪4500-6000。★注：以上岗位工作人员，若工作能力突出，公司将根据自身情况，重点向各部门管理层培养，综合年薪8-15W。,https://www.zhipin.com/job_detail/0b785438c37d288d1n1y3t-8FFVR.html?lid=4XtUN4lanxy.search.282&securityId=1yP5d8dPmoScB--16mF3DvETG6f043nVeyw60bF1I3qEnZN5QvvxCcIzRcAN2bROBA6cM8gVwkvVCPuvnQYF_bOEPzwaua2KTJcGDWFoTsYnIsvpDIw~&sessionId=
Java,成都威客字节,成都·双流区·华阳,3.0,8,工作职责：1. 参与基于Java Web技术的应用系统开发；2. 参与需求分析，根据具体的模块需求，独立完成Java Web类项目的设计编码工作；3. 负责所开发项目的故障修复、性能调优、美化优化等；4. 根据开发规范与流程完成系统设计、编码、测试以及相关文档的编写；5. 负责参与客户需求沟通与项目技术性演示讲解。任职要求：1. 熟练掌握Java、JSP/Servlet、JDBC等JavaEE相关后端基础原生开发技术；2. 熟练掌握JavaScript、Html、CSS，Ajax、Json、jQuery、Bootstrap等前端基础原生开发技术；3. 熟练掌握MySQL数据库；4. 了解并可运用uniapp、H5plus等混生应用开发技术；5. 熟练掌握Nginx、Tomcat等应用服务器；6. 敬业、责任心强，良好的沟通能力和文档编写能力。,https://www.zhipin.com/job_detail/d719d1b52c872d7c1Hd63du-F1pT.html?lid=4XtUN4lanxy.search.77&securityId=J8D5Px10CaaJs-O1KIBQbtzAZQ6uiUIQeurhGltQEtadhFj8WljzQoBfE9JuLNeEoANS39Angqrg2xCE8FIZLlw3uRJW183DVWIDKMXuxHd1SBFPz_k~&sessionId=
Java,燕诚,成都·武侯区·航空路,3.0,4,负责解决开发过程中的技术问题,https://www.zhipin.com/job_detail/945e09ccbaee60e71XF92ty9F1ZV.html?lid=4XtUN4lanxy.search.211&securityId=pCBV3gmwPmky8-61M7Al68W7Smhc4qc1q4VDHWTxAdPE8qfAaJDrP5xUfDvNIzYqi_BCuDIoL1AB2jbiWShynN4Anjy6boLharLgcoAyQRWfYE7i9Wuk&sessionId=
Java,成都中电新元电力技术,成都·龙泉驿区·大面,3.0,6,1. 对 JVM 有深入的理解，包括内存模型、垃圾回收机制，熟悉其基本调优技巧，有相关调优经验.2. 熟练使用 MySQL 关系型数据库，熟悉 MySQL 数据库主从复制，读写分离及性能调优。3. 熟悉 MySQL 其底层数据结构，索引原理，基本调优技能。4. 熟练掌握 Spring、SpringBoot、Mybatis 等主流开源框架，对 Spring 核心原理有一定研究5. 熟悉 SpringCloud 微服务框架，SpringCloud Alibaba 微服务，熟悉 ActiveMQ、Nacos、Redis 等中间件6. 熟练使用 Linux 操作系统， Linux 服务器项目部署经验丰富。7. 熟练使用 docker，docker compose，docker swarm 容器技术，了解 kubernetes 技术。8. 熟悉 HTML、CSS、JavaScript 的使用，了解 Vue 前端框架，了解 NodeJS,https://www.zhipin.com/job_detail/85a23c40c3011e031HB709q1E1pU.html?lid=4XtUN4lanxy.search.265&securityId=iuj51yqPKQm8E-P18w1dJLftSXojLD4xRfpyjsm_eR9WxExxqzSZ764FSgr-n25ylvIn5fg-EGqFGsUtWZCQH8kLafPIwuGtwi9JNQ_mpRprIHBjoaFQ&sessionId=
Java 开发工程师,东哲科技,成都·武侯区·武侯立交,3.0,7,职责：根据设计资料完成编码工作，解决技术实施问题，编写开发文档；根据实际运行环境，完成项目发布、系统运行环境配置等；人员要求：熟悉Java数据结构与算法、SSH、SSM、JSP、JS、SQL；熟悉常用前端框架，熟悉vue框架（优先）；良好的编码书写规范与风格（必须）；了解HTTP、UDP、FTP等前后台通讯原理；熟练的沟通技巧，以及灵活解决突发问题的能力；团队合作能力；承受工作压力；,https://www.zhipin.com/job_detail/9f94f2f6a1ac6c021nx80t61FFtZ.html?lid=4XtUN4lanxy.search.32&securityId=xwZ7q1CSBTRY7-T1rUqEw45QhisOvGKUp2ZWDNCk3ffeBBQwegZRHWl6kuBpU8EnmZkdmrAab7KKm8RtxpsGh6gHNcnw_f9vWg6lKyue1icXk1XIGg~~&sessionId=
java,成都中扶蓉通科技,成都·武侯区·成都高新区,3.0,5,接受实习生，应届生！一、岗位职责1、完成平台后台服务的开发，为前端提供接口。2、解决开发过程中出现的问题及调试工作。3、参与产品的需求及分析设计，根据需求调整和优化产品。4、按时填写开发进度，以及开发文档。5、按时维护及优化项目。6、完成公司安排的其他相关工作。二、任职要求1、计算机及相关专业。2、能独立高效完成项目开发工作，对代码规范有严格要求，有代码洁癖者甚佳。3、熟练使用springboot、springmvc、hibernate、mybaits、redis等技术，了解分布式系统开发；熟练使用mysql等数据库使用。4、熟练使用git版本管理工具，以及使用maven、gradle构建项目。5、熟悉Dcloud、Ant Design、Vue等技术开发者优先考虑。6、要求有一定的抗压能力。,https://www.zhipin.com/job_detail/483e046cfe5240a81HVz0tm1FFNT.html?lid=4XtUN4lanxy.search.296&securityId=gX9JzkJaMNTyg-v1_sKLJ74BA2keIuV-BNiE84L8BWc3jgk5KKc169Xy4ZcNK24w4aGr1MPwRG6YshunJJlrgxF4a3WOKQho2LqVMHu47k30l-MfJo0~&sessionId=
Java,诚骏,成都·成华区·万年场,4.0,9,1、两年以上项目开发经验，能独立完成岗位职责；2、精通主流java开发框架和工具3、熟练掌握io/nio、多线程并发、连接池、集合、jdbc等基本知识；4、熟练掌握HTML/HTML5、JS、CSS等前端开发语言；5、熟练掌握微信小程序、公众号等开发流程，有相关项目经验；6、熟悉Tomcat/Ngnix等web环境；7、熟练掌握ORACLE/Mysql/SQLServer/Redis/MongoDB等数据库的使用；8、熟悉HTTP、TCP/IP等网络协议，熟练掌握XML、JSON等数据交换协议；9、具备良好的逻辑思维能力，责任心强，有团队精神，具备良好的沟通协调能力。【岗位职责】1、根据业务需求，完成业务功能逻辑设计；2、开发进度和任务分配，完成相应模块的设计、开发、编程任务；3、分析并解决项目运营中出现的问题；4、化服务程序，提升服务器性能；5、公司、部门要求，编写相关开发过程文档。工作时间：周一至周五上班 周末双休                  每周三下午公司组织休闲活动                  工作日内偶尔加班,https://www.zhipin.com/job_detail/f0f22ed3efe607541XF509W4F1VY.html?lid=4XtUN4lanxy.search.199&securityId=CuhpBRFTyfzOx-11hbLXs8in-de6zPXHn9bgLVtsUZoATm5wvUTNyzwidHh3peTjTrgTqjwZzJKs4IH5fX36ySOtojc9yOayvE8292_109BUuTtDvw~~&sessionId=
