name,company,area,min_salary,max_salary,description,link
前端开发,标签墙,成都·武侯区·中和,1.5,3,1.负责样式设计2.组件生产修改3.react生态 4.要求掌握es6语法和nodejs5.前端的话js 得会！6.热爱前端7.可到岗可远程,https://www.zhipin.com/job_detail/7c99ab8abc8b82a71HBy39m_FFVX.html?lid=4XjNNXJbVRL.search.147&securityId=dgxskmrVoC-Pc-G1y2NnF4nvczsSNiohBGtNk8e5ZOlWpdpO3LHhcTB6M4af4Ma02UQS0AdzD47mOxmEHV-C3FhtgcULw3cPUUVBMFs6VV7XYrbn&sessionId=
前端开发,成都数易维度信息技术,成都·武侯区·新会展中心,2.0,4,工作时间：不限工作时段：不限结算方式：月结招聘截止时间：2023-05-010、注意！注意！注意！是兼职远程工作按时保质保量完成远程的任务就行，主要是公司自营项目，具体那些项目可私聊我了解已有运营项目继续迭代升级1、HTML+CSS+JS基础扎实，具备移动端H5、微信小程序开发能力2、熟练使用React、Vue、ant design等开源框架3、熟练使用TypeScript语言、webpack、NodeJs4、具备前后端分离开发经验，熟悉前后端不分离项目优先5、公司初创项目盈利后的分红等咱们也可以谈，希望你有想法我们一起做好一件事，若后期发展壮大需要全职可优先考虑,https://www.zhipin.com/job_detail/bc5ad076c164d4511XJ40t64FFtZ.html?lid=4XjNNXJbVRL.search.156&securityId=zYGSnt8AVKATw-t1PyqABmx5eHmrW3Ioa1a6O6iyZ3lu6sLkiCcS19RpSIGf0W9Rem1Us1fNWmWkXjj8Q3RhdvLjUnHsFKTM_Y2SBahjd_Q_JchkfO8U&sessionId=
前端开发,北京颖捷科技有限公司,成都·郫都区·郫筒,2.0,7,1.前端技术（2K~7K，五险）1-2年及以上开发经验学历不限，计算机相关专业优先技术要求：基础使用CSS、CSS3、HTML、HTML5、JS（JavaScript）。CSS、HTML框架主要使用ElementUI组件库对面视图、布局进行架构开发JS（JavaScript）框架主要使用VUE，React进行对页面底层架构搭建，数据处理渲染逻辑。使用VueX进行简短小型数据本地存储，使用Axios来请求后台接口，交互、渲染后台返回数据。2.会UI设计优先。工作地：成都或北京要求：能接受加班和出差。优势：与北京理工大学数字化制造研究所合作，教授带队，与985研究生共同工作，合作交流。,https://www.zhipin.com/job_detail/517e4810043369041XV43t-0FVJX.html?lid=4XjNNXJbVRL.search.222&securityId=TAXoplHrTKBKd-w1iYP8hGNg5go2c3j7Pz4CE6sT29UeYsByUPHD4lF_4q3F0ExFBI1hELPqsDCEA34JpJArtBvwqUUxxiwhvF8V4KpnQPGf8dvxb_r2&sessionId=
web前端,思可觅,成都·温江区·公平,2.0,6,"1.工作地点在 温江,四川农业大学旁;2.创业公司,技术团队参与准B轮公司技术合作;3.善于学习,乐于学习,敢于学习;4.团队氛围融洽,准双休;5.如果是应届生,请体现出学习价值,我们给你学习空间;6.如果是有经验者,请体现出能力价值,我们给你提升空间.工作地点 温江 温江 温江其他情况面谈。",https://www.zhipin.com/job_detail/55ca5709db95fc631XZ-09i6F1M~.html?lid=4XjNNXJbVRL.search.167&securityId=J2SH05HR8r8jw-J1QeaJMnCQcuLMck35uPWg_f5iMB2CGwuED3TytXnNTrKxr8Jp1yhSrfuDQkrA-OlXftTCCHJ4oNnZQJU3GjKFQhOQEO9XrNPP&sessionId=
web前端,成都软灵科技有限...,成都·武侯区·新会展中心,2.0,3,我这边暂时需要兼职，远程办公，3K底薪，根据完成的微信小程序及微信H5评估提成。希望有大牛加入，如果技术过硬可以参与公司核心产品研发，工资+股份分红。希望能开发微信H5、小程序、PC网站（管理系统类型）需要必备技术：NodeJS，JavaScript ES6，PhotoShop(裁图)，MySql数据库需要掌握的技术（会的话更好）：小程序开发（含云开发），gulp(自动化)，JQuery，Webpack，NodeJs koa2PS：使用安卓手机和Windows  PC 的勿扰。,https://www.zhipin.com/job_detail/03719509190ad7b00HV50t65E1s~.html?lid=4XjNNXJbVRL.search.298&securityId=6Fbp5be7CHtjs-J1DEqSq-30UtMPZsVZJwrYwotVnQ269Co95oka0-blgcI5FMuJxek1H9syZNo0KCrbfe5ikdzTpFrbxvPKEz46nntWrujivMmC&sessionId=
前端开发工程师（React & VUE）--成都,千康信息科技,成都·武侯区·新会展中心,3.0,6,岗位职责：1、负责互联网产品的前端架构设计和开发，实现前端产品的高质量交互；2、提升网站的前端性能，保证前端应用具有跨浏览器和跨平台兼容性及可扩展性；3、定义与后端工程师合作的边界、标准化与后端程序的接口4、在不断迭代优化中调整、建立以及维护产品界面的视觉及前端设计规范；5、准确理解产品、业务的意图并表现之，严格把控开发的视觉/交互还原度；要求:1、本科及以上学历；2、熟悉JavaScript、DIV+CSS，熟悉JSON数据操作，熟练运用Jquery、Bootstrap、VUE，React等框架3、熟悉HTML5特性，了解HTML5最新规范，能够熟练运用HTML+CSS构建高质量前端页面；  4. 熟练使用 vue 框架，对生命周期，计算属性，vue 指令，组件通信了若指掌；熟悉React框架，Ant Design5. 熟练应用 vue 的周边资源， vuex  vue-router vue-form vue…6、提升网站的前端性能，保证前端应用具有跨浏览器和跨平台兼容性及可扩展性；响应式开发实践；7、掌握交互设计知识，能够快速理解流程逻辑，并结合自己的理解积极参与产品需求讨论8、有良好的团队合作能力，工作认真，细心，能高效完成工作。9、有抗压能力，具备良好的服务意识,https://www.zhipin.com/job_detail/23f45750e23d3d871HB509W1EFZQ.html?lid=4XjNNXJbVRL.search.54&securityId=LBn8T3ugD4d7z-_1OohQxgejK_OwvzCpyusrJNFgmemkJpvbNwUKVKQq_ugo4dZFvcmLM3cx6UiPPKR_d5_DFtxpUxPbtlOgfuXU3Gyp8KbTobLLR-FUVRnn-0FkYZn7II9x77E65U1imOvURX8b9w~~&sessionId=
前端开发,斩月国际贸易,成都·成华区·龙潭,3.0,8,前端开发，能独立打包上架App市场，安卓和苹果代码要求规范，该备注就需要备注，有良好的交互逻辑。不要实习生，不要实习生。需要能独立完成前端源码编写，集成接口，打包，上架到应用市场。谢谢,https://www.zhipin.com/job_detail/1ff46e817687420a1HZ_39m7ElpY.html?lid=4XjNNXJbVRL.search.106&securityId=FoYK2oPdEUQx7-n1xkBWr5buz_FgRYa1uDEXariRjPZKzBz8ku8j0lkE0NVxnzlpxeh3lEuiKC4sJ3s7CXW7h20fzdl47HBSfBXtYI6gv7_MYi20XveR&sessionId=
vue前端开发工程师,汇众远航,成都·金牛区·洞子口,3.0,7,VUE前端开发工程师职位要求：1.1年或以上前端工作经验。2.必须熟练掌握Vue.js+Element+echars框架，必须有1-2年以上实际项目经验。3.熟悉WEB前端开发，Html/Html5、CSS/CSS3、JavaScript、Jquery、Ajax 等PC前端技术。4.至少熟悉一门后端语言，Java/golang/python/php。4.有医疗系统项目开发经验优先。5.了解数据库设计模式。6.涉及过与硬件交互优先(树莓派或其他硬件)7.能配合后端完成功能的实现。,https://www.zhipin.com/job_detail/65f4a57e7879363a3nR939m_EFI~.html?lid=4XjNNXJbVRL.search.31&securityId=1Y-N9yAyz51h4-V1DOB00b4U4yL75JrkM58NGWQXdFuBVnXMdCP5z8iWSCC_44_PTuVBH_jERIjNFoa2ZbncIoQURR92C71tsTRrOhnhOd9i4Sf7&sessionId=
web前端,成都市金仓科技有...,成都·郫都区·高新西,3.0,6,"1、精通ipacloud.部门成员成员间协作完成公司混合移动端app开发；2、具有核心编码及执行系统重构能力；3、能够协作完成详细设计及编码、自我进行代码检查；4、负责移动端app应用界面开发，与后端接口数据对接。职位要求：1、精通html5、css3、JavaScript等新功能，熟悉页面架构和布局、模块分离设计经验，掌握PC、Android、IOS不同平台的html5页面的适配；2、对css/JavaScript性能优化、解决多浏览器兼容性问题有一定的经验；3、理解并掌握JavaScript语言核心技术DOM、BOM、Ajax、JSON等，对javascript框架应用有一定的经验，熟悉响应式网页设计（如jQuery Mobile,Bootstrap等）,熟悉两种以上Javascript框架；",https://www.zhipin.com/job_detail/b5e1504eafa562f41Xxz3dW6GVY~.html?lid=4XjNNXJbVRL.search.112&securityId=8lePJl_RkpMbj-H1LgCq7k3pQVILJsMrkbgmI-2unvNQBZTqJ3diVQaBUMZY_ya69PmcL0MIMhX3JitKAAI3_1IyQoSUSKnZ4J-lH3sSbJBegSxs&sessionId=
前端,一颗优雅草科技,成都·青羊区·黄田坝,3.0,4,2024年招聘信息更新，公司介绍：优雅草2024年已经正式开始大型行业应用软件，企事业智慧升级，信息化建设，目前优雅草在项目这块以实力上位，获得了多家知名国企，央企的信赖，在2024年会有更大的发展，因此对人才的渴望以及对应的要求也有所提升，一直以来优雅草的招聘很随缘，目前有三分之一都是优雅草的网友，粉丝变过来，今年的招聘有一点特殊，持“计算机技术与软件专业技术资格（水平）考试” 证的同学优先考虑，因为接下来优雅草将对接很大型的项目，对开发人员资质是有要求的。职位背景：由于我司需要对人才进行培养，因此本岗位是培训讲师岗位，主要工作为制作教学视频，本岗位不限制年龄，需要经验丰富的讲师。（对于后端的理解我自身也是有理解的，一个优秀的后端是不局限语言的，本人也写代码而且效率还挺高，一个优秀的将曾经一定是一个优秀的士兵，因此不管你学哪个语言，不管你擅长哪个，总之优秀即可）公司简介：优雅草已经搬迁至青羊区，增加集成电路相关营业范围，正式开始智慧工业请须知，更多信息可参考优雅草网站介绍职位要求：1、统招本科以上学历，学信网可查，计算机相关专业，（学历不足下方有补充方式）2、熟练html+css3、熟悉vue，React、CSS，flutter任意框架即可。4、GitHub发布过优秀开源代码的作者，csdn博客之星之类（学历条件放宽）5，证书比较多的优先（不限类型）6，有过教学经验优先。工作内容：本岗位不参与我司研发部门研发，本岗位每天制作2小节视频，上午一小节下午一小节，需要不断进步，我们对学员采取免费学习制，对vip学员重点培养，培养完成后学员开始逐步参与优雅草科技研发部门的研发工作。1，每天发布2小节视频，自己要剪辑下后由公司统一发布。2，我们建立了普通vip网络学员群，在群里可学员可以互动，（针对每月付费会员情况对老师进行提成）。3，没有了，如果有兴趣和有能力参与公司研发产品额外可申请，这部分经费额外算。1，底薪2300（扣六险一金后实际所得，扣款大概2000多，也就是实际你的底薪4000多），加项目分成每月最低是1w，优雅草模式已经转变，多劳多得，无劳无得，公平公正，在我们这里拿不到1w就没有待下去的意义，三个月试用期，每月做不到1w就可以走了，对于我们的预算和分配的任务其实是太简单啦。2，提成靠自己，（做实事的团队一向废话不多说，其次你也不用想象公司要处理什么人际关系乱七八糟，优雅草团队能者居之，不搞虚头巴脑的，只,https://www.zhipin.com/job_detail/63d87962a95c71b31Hd53N60FltT.html?lid=4XjNNXJbVRL.search.41&securityId=DFhQ8JcgZv_e1-w1_o935oJbgBqkJedzV30vKY6G-pkefii98qj-iQEOVOAitIsE6FfEzKO-cSLCuYmTghraXtUspZGU-iCqDSb0j_Y3JZkD3Mok&sessionId=
