name,company,area,min_salary,max_salary,description,link
实习生,锦尚锦,成都·温江区·涌泉,1.0,3.0,招聘岗位：园林实习生工作职责：1.协助公司各项项目的施工任职要求：1.大学专科及以上学历，建筑、园林、土木、农业类相关专业2.工作认真负责、有责任心、能吃苦耐劳、有上进心，踏实稳定3.带薪实习；有意来我公司长期发展的可优先考虑。,https://www.zhipin.com/job_detail/63f73f6485aee8dd0HV70tu_FFs~.html?lid=4WqP1pKEbEJ.search.31&securityId=O60eYixasS5gR-M1hX5ORgOncASVQGwVzbiiscbuYsZ1rHrQjXkry5ydxJqapM8cTuCGyRu27LigM3UR8c7yAq-ijfuH9Pr6ICwecnJS1dJnyXKa&sessionId=
水利水电工程师,中科科航,成都·武侯区·桂溪,2.0,2.5,工作周期：长期兼职每周工期：无要求工作时间：不限工作时段：工作日结算方式：完工结招聘截止时间：2024-05-18注册土木工程师（水利水电）水工结构专业+水利水电类专业高级职称,https://www.zhipin.com/job_detail/566551901354f8831HB-29m6FltR.html?lid=4WqP1pKEbEJ.search.15&securityId=-qCrM4bZbDhZH-v17OgumhT7xATFD_dVtDTmHYQjcADIqSRPm1fPumpWiBJYZGnY297Y4Oq32aYS8ClopoxLpnFTeuqJYbhQH3_az9Q2uco8BTjHzw~~&sessionId=
BIM实习生（100/天）,启维联创,成都·武侯区·红牌楼,2.0,3.0,1、协助完成路桥隧、水利水电或建筑结构相关专业的模型创建；2、协助进行项目图纸等相关资料的整理及交付。任职资格：1、水利水电专业、建筑专业、路桥隧专业等土木相关专业大三、大四或刚毕业的学生；2、接触过BIM相关项目，参加过BIM相关比赛、有图学会BIM证书等优先考虑；3、能使用BIM建模软件Revit、Bentely、Catia等其中一种优先考虑；4、获得过奖学金或优秀班干部等优先考虑；5、具备良好的沟通能力及服务意识，工作态度积极，细致认真，责任心强，团队合作意识强，乐于学习；6、了解相关专业的基础知识，具备基本的水利水电、建筑专业、路桥隧专业知识及施工图识图能力。,https://www.zhipin.com/job_detail/c3bf35216e9b26a81HZ_39u1EVpZ.html?lid=4WqP1pKEbEJ.search.27&securityId=4P4e-sVKnv7L9-V1jg0XwJZNByY9UKPAL3QzjhmwuBectSNfaisKg3MRiZLMsG5xwhKhRBQ5u3GCHCebQHmVcbTg2Qf0H4dABxkLw66Xm2eDMB9gChQ~&sessionId=
监理员,康立时代建设集团,成都·成华区·东郊记忆,2.0,3.0,岗位职责：1.在专业监理工程师的指导下开展监理工作；2.协助专业监理工程师完成工程量的核定；3.担任现场监理工作，发现问题及时向专业监理工程师报告；4.对承建单位实施计划和进度进行检查并记录；5.担任旁站工作，发现问题及时指出并向专业监理工程师报告，完成见证取样台账填写。任职要求：1.大学专科及以上学历，建筑、土木、工民建类相关专业；2.具有较强的沟通能力和组织协调能力，能够合理、有效地协调各项相关工作，工作严谨、认真、细致，具备一定的计算机操作能力；3.责任心强、吃苦耐劳，能适应公司统一安排，能接受外地工作优先；4.欢迎广大应届生/实习生投递。温馨提醒：1)能够接受出省；2)工作项目包吃住。公司地址：成都市成华区招商城市B座11楼面试时间：工作日10：00至16:00,https://www.zhipin.com/job_detail/b077843b623e2bdf1HB_2Ny0GVBV.html?lid=4WqP1pKEbEJ.search.50&securityId=TJBs-g_spNbn5-Z1dp2FG15NQNnQmvb90u6-NjylclWH5dNdmz-72mzgjJHHMebsZrm3lCGqwX6Fa33ogQQbIhy8odl7DUD3OmN8PMTj0jGKJpfVX9nb&sessionId=
bim机电工程师,中欧科技,成都·锦江区·柳江,2.4,3.3,岗位职责：1.协助BIM工程师完成机电一块方向的BIM模型搭建；2.协助BIM项目负责人做好BIM项目动画、汇报、报奖等工作；3.协助BIM项目负责人完成各类项目、资料编制归档工作；4.完成领导安排的其他工作；任职要求：1.大专及以上，最好是建筑、土木工程、给排水、暖通等相关专业；2.具有较强的计算机软件操作能力，接触过CAD、REVIT等相关BIM软件者优先；3.了解专业基础知识，具备基础的建筑、结构、土木、机电专业知识及施工图识图能力；4.有较强的学习理解和沟通能力，认真负责，细心严谨，热爱BIM技术，愿意从事BIM行业。,https://www.zhipin.com/job_detail/0af2ba9dc217be5e1Xx63Nu9FFVU.html?lid=4WqP1pKEbEJ.search.41&securityId=PzzX8zcLH0_CE-i1-MyXaJQFJ2Kp4O7JrkMJGYUTYqhs4IUlhPFoJMPvrL84MGDjMDeLvVvsQZPqfUykrI1SklBhKSk0I2VMMQcrm3MaAAgxPgPBI7c~&sessionId=
家装监理，项目经理,峰子伟装饰,成都·武侯区·科华北路,3.0,8.0,职位描述：1.、为客户解答装修疑惑、提供装修初步方案；2、根据公司及行业监理标准为客户制定监理服务；3、对业主装修工程施工及进度的管理；4、保证施工质量、提供设计、材料、产品、付款管理服务，专业管家服务让客户售后无忧；为业主解决装修难题，规避风险。 任职要求：1、大学专科及以上学历，建筑装饰工程、土木、室内设计工民建类相关专业；2、1年以上工程监理工作经验，有监理工程师证或取得监理工程师执业资格者优先；3、熟悉建设项目相关的法律法规、有关政策及规定，具有较高的专业技术水平、较强的综合协调能力以及丰富的工程管理经验；4、有较高的判断决策能力，能及时决断，灵活应变，能处理各种矛盾、纠纷，具备良好的协调能力和控制能力；5、良好的语言表达、交际沟通能力；6、责任心强，认真负责，细心严谨，有良好的职业素质和团队精神及沟通协调能力。,https://www.zhipin.com/job_detail/f12f3c01d435b8041HBz0tW6ElRY.html?lid=4WqP1pKEbEJ.search.71&securityId=-7lgRt2m-5qW7-E1mQ-g7naQCW6fK7I9sdb9zpNf9MLTqBVlprOgvfYKCSg22aj0kkbZw6Dk1o8TnQ8wYelFqKrW97sUDYYdOufROIWhXtNfbKxzptQ~&sessionId=
咨询顾问,宏诚国际,成都·武侯区·环球中心,3.0,3.6,岗位职责：  1、 有良好的行为品德，优良的工作作风，为人诚恳，工作踏实；2、配合编写部门安排的项目咨询报告及相关工作报告；承担工程投资咨询(可研报告、项目建议书)、项目节能评估(评审)等报告编制工作；3、完成工作报告后及时整理，收集齐全，并移交归档手续；4、配合上级主管部门、评审专家等相关方的联系，并做好内外信息沟通工作；任职要求：1、大专以上学历，建筑、土木、环境、工民建类相关专业；2、接受在校实习生（有1年以上相关行业经验者可优先考虑）；3、具有扎实的专业基础知识，分析问题的能力；4、有较强的沟通、组织、协调能力；,https://www.zhipin.com/job_detail/572efa94710d1d4b1XR82ti9F1dT.html?lid=4WqP1pKEbEJ.search.30&securityId=zPjVUP2C80ICB-c1XzNlfQ0dl9EppCPp8ETyRiFRGiuwIACrFjGw2ant3Fk4taLvTUIUof3MdNLOpT8Ljq74qRXbztdC_mg_NCmcvEtb-UDR4mcKGe4~&sessionId=
土木工程师（招标、投标专员）,中阿宸硕,成都·都江堰市·金融中心,3.0,5.0,1、能独立完成公招电子标、纸质标、采购项目等招、投标的资料编制；2、品行端正、责任心强，工作认真、仔细，服从公司安排；3、带证者优先录用，学历高者优先使用；4、薪酬采取底薪十提成；5、特别申明：公司将于8月左右搬至成都办（金牛区地铁2号线金周路站附近。）,https://www.zhipin.com/job_detail/53f2a9c82db0b0680HN53dm5FFc~.html?lid=4WqP1pKEbEJ.search.5&securityId=NRkXK4dsli-vm-_1jafa_CGgeuAz-GuVJ4WZEK5atqlzR33K-dCvTp3qgRPf2u7UMlC0efGRCQxnFIzJl4PWeVU-FOEXh0bPJw-buZA7Ni3lXS5x7Q~~&sessionId=
科研助理,四川大学,成都·武侯区·科华北路,3.0,4.0,长期科研助理招聘：要求：1.计算机，土木等理工科背景；2.对类似于CAD的商业软件感兴趣；3.工作内容与待遇面议；4. 有程序经验的优先考虑。加分项有以下行业经验：电力/热力/燃气/水利·计算机软件·互联网,https://www.zhipin.com/job_detail/7b7133e30dca6ac51HZ529-_GFVV.html?lid=4WqP1pKEbEJ.search.16&securityId=S7HsDKWm4mP4I-51LMvzpZBNzhcnBQEfj9rHxDJci1eabo0LxrxSDUD-02-HslCTGDFYuEO9XWRQytiv2ch9r6UBleF_brLImQ1CB5G46X5HSvEIfJU~&sessionId=
全职监理员,国金建设发展,成都·成华区·驷马桥,3.0,5.0,任职要求：需持有四川省监理从业人员业务培训合格证，且能转注到我们公司，人、证、社保必须要求一致。岗位职责：1、在专业监理工程师的指导下开展监理工作；2、协助专业监理工程师完成工程量的核定；3、担任现场监理工作，发现问题及时向专业监理工程师报告；4、对承建单位实施计划和进度进行检查并记录；5、承建单位实施过程中的软件和设备安装、调试、测试进行监督并记录。6、按设计图及相关标准，对承包单位的工艺过程和施工工序进行检查和记录。任职资格：任职资格：1、大学专科及以上学历，建筑、土木、工民建类相关专业；2、1年以上工程监理工作经验，有助理工程师资格者优先；3、精通工程监理，工程管理等相关专业知识，了解建筑法、合同法、招投标法等相关法律法规，了解工程概预算相关知识；4、具有较强的沟通能力和组织协调能力，能够合理、有效地协调各项相关工作，工作严谨、认真、细致，具备一定的计算机操作能力；5、责任心强、吃苦耐劳，能适应经产出差。,https://www.zhipin.com/job_detail/75c57045f268901f1HB_2N-6FFJT.html?lid=4WqP1pKEbEJ.search.74&securityId=rblDtIxgkn1g3-K17H_lsypsUJKqWum9pQHLJzuj5Oaiqj2rViEAcfp8NsfdaSi7V4N0UojI5BEjAC7Se-rDxrfSCXvHhzNn6FmSXXhiXnHyDQCrUiMw&sessionId=
