name,company,area,min_salary,max_salary,description,link
数据开发,方海数动,成都·锦江区·红星路,1.0,2.0,1.熟悉各大云平台的使用与产品，了解构建网站&数据库所需资源与限制条件2.熟悉服务器，胜任云服务器和自有服务器的数据维护和管理,https://www.zhipin.com/job_detail/9cee4ba4ea10d3731XN82d-4E1NR.html?lid=4WKPvzxPgDT.search.265&securityId=6E68irKKsVonI-B1GU3XXjpNSo06Up2GQ66Yrk58a8BuSnIgBu6LR34FvCALbmjWHB9o78RDsQ6SrSjdJhxEKFF2u0jSomhLXvREOwjHGtD_gcOygRlF&sessionId=
数据开发,言柒科技,成都·龙泉驿区·大面,3.0,8.0,1.手机数据收集信息正确分类及时反馈2.年龄18到40岁会用智能安卓手机和相机上手简单几分钟上手，有无经验都行，门槛低。3，可全职可兼职，上班时间自由，工资稳定只要App给你审核过图片3~7天内就可以给你打款,https://www.zhipin.com/job_detail/ee231f74e35a473e1XV_0t-5F1JY.html?lid=4WKPvzxPgDT.search.247&securityId=cd0mzG8OIMTZ3-i1PN8WQ8kKVB0ZlYQw2xkBhcp8ww0JMMPveEoNc35SY__Gf59QPQJFbk4ZQkILtje5gohmgN-2DK8Td88wPfLPo7WbXmaKs0uDSGXZ&sessionId=
大数据开发实习生,成都鲲摇,成都·武侯区·金融城,3.0,5.0,1.协助负责项目的需求整理.分析及解决方案编写2.根据需求完成代码编写，调试，测试及维护岗位要求1.有计算机基础优先，如;java  c#   c＋＋.net等2.具备较强的自学能力，团队精神及抗压能力,https://www.zhipin.com/job_detail/455a336c53f94f113nFy29-4EFU~.html?lid=4WKPvzxPgDT.search.119&securityId=T9_YnEqtfw926-W15I-uK97oDVnNjXeSC5UCk0j5PgImYe7QjHVpdcVyfi0vcAVyA2wKA0pFZM4fZEi4NjMKxwXujE0NNo4KqwoTtl7DXh0oiWnTJU0~&sessionId=
大数据分析师助理,成都数联产服,成都·武侯区·新会展中心,3.0,5.4,职责描述： 1、面向区域或行业，进行数据分析，开展宏观经济、产业经济及相关课题研究，编写研究报告或设计解决方案。2、完成单位交办的其他工作。任职要求：1. 211、985及以上高校，经济学、统计学相关专业，硕士或博士研究生学历。2.掌握数据建模分析和产业经济研究的常见理论与工具。3.有实际项目工作经验，对统计数据和互联网数据有应用经验。4.较强的逻辑思维、表达能力。,https://www.zhipin.com/job_detail/a0ccf1f2e2015da91HBz3di7FVJY.html?lid=4WKPvzxPgDT.search.122&securityId=haRpbcxhTaCXD-g1kUa9jZVBmak4q_LS2LWGJpSa54Ipyw6m-d0CeaR6NRXsvcgRu7JmoZIGRTcsnzZ9bgSIThXFJKqAXiMYf1eYOhJcApyj2Z6ldg~~&sessionId=
大数据开发工程师（研发中心实习岗）,瑞月科技,成都·武侯区·复城国际广场,3.0,5.0,1、大专及以上学历，数学、计算机等相关专业；2、熟悉应用java/python/scala编程，熟悉R编程者优先；3、熟悉应用hadoop、spark、hive等分布式框架，搭建分布式运行环境；4、熟悉Java/scala与R/python等算法分析语言的编程接口；5、熟悉Java/scala与Oracle/nosql/gbase等数据库的编程接口；6、熟悉了解数据挖掘等相关知识。,https://www.zhipin.com/job_detail/505431757ec7a0a21nR93Nq4GFVQ.html?lid=4WKPvzxPgDT.search.225&securityId=z5XQ9clW-ch1s-R1JSjoevVSbubXquEll9YHxCrBnenLbXFl9n0NrG9tzotU7Alrk7KJghJG816ARQY-EMwH3G5wJs_KGKQ7YphnJovXuj2b5M5y88w~&sessionId=
java开发工程师-大数据爬虫,艾普思,成都,4.0,6.0,"职位描述：1、理解产品经理需求，根据产品原型完成功能开发。2、按计划完成分配功能模块代码编写和单元测试。岗位要求：1、计算机等相关专业本科以上学历，有1-2年java开发工作经验。2、具有扎实的Java基础功底，熟练使用mysql等数据库。3、熟悉HTML,JavaScript等。4、有android,app开发经验优先或者有app，js逆向者优先。",https://www.zhipin.com/job_detail/35008aef507129d71nFy29W4GVtX.html?lid=4WKPvzxPgDT.search.195&securityId=cALwyam62o_Ay-t1vW0M6So1UVWPkR3iVlY4C3Qpj5YE_AUHJsQoRt9IgKGdFKm70upJtysOh9OgFAYZUBR_RRnDnPgxor-2Ch63LklfO5pTmps6Lk0~&sessionId=
bi工程师 大数据工程师,四川思迈特智数,成都·武侯区·红牌楼,4.0,8.0,1、本科及以上学历，计算机、软件、数学及相关专业，熟悉oracle、python、postgresql、django更优；2、具备良好的学习、沟通、创新、分析判断、解决问题的能力；3、了解前端数据可视化的技术，例如vue echarts等。3、岗位工作可能涉及的内容包含：数据库、数据仓库模型构建、大数据研发、python、数据挖掘、数据可视化等。4、主要参与公司教育、银行、财政等大数据行业的项目实施和研发。此岗位也接受应届毕业生。,https://www.zhipin.com/job_detail/eb6efac1efed7d8d1XZy39u5FVBT.html?lid=4WKPvzxPgDT.search.182&securityId=65EWPEQL77nxJ-Q1Z8ft5fpF-OmezDCSq_35wdPamhCzH9veS3mR0hZo3Nzh0qXUIDCuQmbw4TKnnW5JHICo5FLREAXpyHHzDbW5GzHVpubXzSOFBiQ~&sessionId=
产品经理（大数据方向）,蜀信信用,成都·崇州市,4.0,8.0,岗位职责：1、配合公司完成大数据+相关市场的拓展及产品规划，竞争对手分析；2、根据市场推进情况，设计符合大数据+相关行业的产品及商业模式，把握产品定位及未来发展规划；3、跟踪、分析、挖掘产品的客户需求，进行产品迭代设计；4、对产品生命权周期进行管理、跟踪、分析和优化；6、配合市场部做产品推广方案，为市场部提供技术支持；任职要求：1、985、211学校本科以上学历、硕士优先考虑，3年以上产品管理工作经验；2、有大数据分析应用相关产品设计经验优先，有互联网产品设计及优化经验优先；3、对数据有高度的敏感性，了解国家大数据相关政策动态，有国家级\部委级项目经验者优先；4、有追求新事物的热情，具备设计规划新产品、明确产品定位及发展规划的能力；5、追求高品质产品的精神与热情，对行业动态有足够洞察力及敏锐度；6、具有优秀的表达、沟通与协调能力、团队合作精神、保密意识。7、有政府行业经验者优先。,https://www.zhipin.com/job_detail/f06cd8a249218acc1nR929m1EVo~.html?lid=4WKPvzxPgDT.search.70&securityId=iCFgCThkixVcp-G1ebQ-T0ROtH1GSUPnean6CnRZgFIkDKCGiAnGtT-AjCYRQMsjJwN7UfHQ9VZfTTus5IVRr_Gs_52Kwn7HmQOM_RkPLdPBEhI~&sessionId=
大数据采集开发工程师,拾贝科技,成都·郫都区·郫筒,4.0,5.0,工作简介：1、大数据数据集采集、整合开发；2、爬取指定系统或网站数据、结构化处理。任职要求：1、本科以上学历，计算机相关专业；2、熟悉Linux系统使用，熟悉python语言；3、熟悉公安或政府行业信息化者优先；4、较强的执行能力，抗压能力，能有效推进工作进展；5、对行业信息化有兴趣；6、较好的学习能力、沟通能力和能吃苦的创业心态；7、接受出差。其他：公司可培训或帮带。,https://www.zhipin.com/job_detail/23ba9063df393f971XVy2t64FFA~.html?lid=4WKPvzxPgDT.search.188&securityId=-ogz33MvG5WCX-J1H6BvZnmJ2KiUCzflG4XIGTwSVAf_Y2foNjBLHV9qOPZ_rlhlCai2nN6oP48U6yv0DP2DERhq2QwF9tjIOWWRMtRBsVsPqen9&sessionId=
兼职大数据讲师,易腾创想,成都·温江区·温江大学城,4.0,5.0,1.本科及以上学历。 2.三年以上开发经验，1年以上大数据讲师经验3.熟悉java/Hadoop/Spark/Hive/Flume/分布式,https://www.zhipin.com/job_detail/23386a39e4d45ff91Xx73Ny7EFFT.html?lid=4WKPvzxPgDT.search.72&securityId=GpRUItiJYH3lV-G1M1GGjlnqpXBeLBDAmrF-EJwDUSSpkSzNiAK7FSExll-9uD29YDhIoe61S7h8T3PLmwumssr2XNiUmOJ7NUjGdktBqAd_MsqNUerzPkcaRTKBLbdAEgLpyODSdFECSHWv4IxGuA~~&sessionId=
